name,phone,whatsapp,address,district,districtCn,website,facebook,instagram,services,notes,rating,isVerified,isActive
"旺角寵物美容店","63136193","","旺角銀城廣場","Yau Tsim Mong","油尖旺","","","","","",0,false,true
"Pawsmetic Spa & Wellness 醫護級寵物美容","35005820","","九龍油麻地渡船街32-36號富利來商業大廈地下D-F鋪","Yau Tsim Mong","油尖旺","","https://www.facebook.com/pawsmetic/?locale=zh_HK","https://www.instagram.com/pawsmetic/","","",0,false,true
"FOR PAWS","91210092","","柯士甸道松山大廈地下3鋪","Yau Tsim Mong","油尖旺","","https://www.facebook.com/ForPawsHK/","https://www.instagram.com/forpawshk/","","",0,false,true
"Infinite無限寵","91642666","","大角咀櫸樹街10號富多來新邨一期G樓54室","Yau Tsim Mong","油尖旺","","https://www.facebook.com/InfinitePetSalon","https://www.instagram.com/infinitepetsalon/","","",0,false,true
"JayBuddy Pet Salon","66519938","","佐敦文𠥔街38號文景樓地下","Yau Tsim Mong","油尖旺","","","https://www.instagram.com/jaybuddy_petsalon/","","",0,false,true
"老友狗狗寵物美容中心","31040399","","深水埗塘尾鴨寮街7號","Yau Tsim Mong","油尖旺","","https://www.facebook.com/dogsbuddy6199","https://www.instagram.com/dogs_buddy_grooming_centre/","","",0,false,true
"田園寵物店Countryside Pet Shop","31889901","","尖沙咀柯士甸道154-156號花園大廈地鋪3號","Yau Tsim Mong","油尖旺","","https://www.facebook.com/bigeyespet/","https://www.instagram.com/countryside_petshop/","","",0,false,true
"漾 寵物工房","25708208","","銅鑼灣屈臣道11號","Others","","","","https://www.instagram.com/bee_pet_grooming/","","",0,false,true
"FLUFFY LITTLE THINGS","23689833","","灣仔駱克道294號","Wan Chai","灣仔","","https://www.facebook.com/FluffyLittleThingsHK/","https://www.instagram.com/fluffy_little_things/","","",0,false,true
"Meow Me Diary","96339323","","油麻地上海街62號AVA1樓","Yau Tsim Mong","油尖旺","","https://www.facebook.com/meowmediary/","https://www.instagram.com/meowmediary/","","",0,false,true
"Pet's Lagoon (Mid-levels， H.K.) ","90218212","","半山摩羅廟街31-37號G樓4號鋪","Central and Western","中西區","","https://www.facebook.com/petslagoonhk/","","","",0,false,true
"天之城寵物美容中心","23813489","","大角咀埃華街119號大益樓地下M3鋪","Yau Tsim Mong","油尖旺","","https://www.facebook.com/laputerpetbeuatycentre/","","","",0,false,true
